    0.10000E-03    0.30916E+03
    0.10202E-03    0.31515E+03
    0.10408E-03    0.32126E+03
    0.10618E-03    0.32748E+03
    0.10833E-03    0.33382E+03
    0.11052E-03    0.34029E+03
    0.11275E-03    0.34688E+03
    0.11503E-03    0.35360E+03
    0.11735E-03    0.36045E+03
    0.11972E-03    0.36744E+03
    0.12214E-03    0.37455E+03
    0.12461E-03    0.38181E+03
    0.12712E-03    0.38920E+03
    0.12969E-03    0.39674E+03
    0.13231E-03    0.40442E+03
    0.13499E-03    0.41226E+03
    0.13771E-03    0.42024E+03
    0.14049E-03    0.42838E+03
    0.14333E-03    0.43667E+03
    0.14623E-03    0.44513E+03
    0.14918E-03    0.45375E+03
    0.15220E-03    0.46253E+03
    0.15527E-03    0.47149E+03
    0.15841E-03    0.48062E+03
    0.16161E-03    0.48992E+03
    0.16487E-03    0.49940E+03
    0.16820E-03    0.50907E+03
    0.17160E-03    0.51892E+03
    0.17507E-03    0.52896E+03
    0.17860E-03    0.53920E+03
    0.18221E-03    0.54964E+03
    0.18589E-03    0.56027E+03
    0.18965E-03    0.57111E+03
    0.19348E-03    0.58216E+03
    0.19739E-03    0.59342E+03
    0.20138E-03    0.60490E+03
    0.20544E-03    0.61660E+03
    0.20959E-03    0.62853E+03
    0.21383E-03    0.64068E+03
    0.21815E-03    0.65307E+03
    0.22255E-03    0.66569E+03
    0.22705E-03    0.67856E+03
    0.23164E-03    0.69168E+03
    0.23632E-03    0.70505E+03
    0.24109E-03    0.71868E+03
    0.24596E-03    0.73256E+03
    0.25093E-03    0.74672E+03
    0.25600E-03    0.76114E+03
    0.26117E-03    0.77584E+03
    0.26645E-03    0.79083E+03
    0.27183E-03    0.80610E+03
    0.27732E-03    0.82166E+03
    0.28292E-03    0.83752E+03
    0.28864E-03    0.85369E+03
    0.29447E-03    0.87016E+03
    0.30042E-03    0.88695E+03
    0.30649E-03    0.90406E+03
    0.31268E-03    0.92150E+03
    0.31899E-03    0.93926E+03
    0.32544E-03    0.95737E+03
    0.33201E-03    0.97583E+03
    0.33872E-03    0.99463E+03
    0.34556E-03    0.10138E+04
    0.35254E-03    0.10333E+04
    0.35966E-03    0.10532E+04
    0.36693E-03    0.10735E+04
    0.37434E-03    0.10942E+04
    0.38190E-03    0.11152E+04
    0.38962E-03    0.11367E+04
    0.39749E-03    0.11585E+04
    0.40552E-03    0.11808E+04
    0.41371E-03    0.12035E+04
    0.42207E-03    0.12266E+04
    0.43060E-03    0.12502E+04
    0.43929E-03    0.12742E+04
    0.44817E-03    0.12986E+04
    0.45722E-03    0.13235E+04
    0.46646E-03    0.13489E+04
    0.47588E-03    0.13748E+04
    0.48550E-03    0.14011E+04
    0.49530E-03    0.14279E+04
    0.50531E-03    0.14553E+04
    0.51552E-03    0.14831E+04
    0.52593E-03    0.15115E+04
    0.53656E-03    0.15404E+04
    0.54739E-03    0.15698E+04
    0.55845E-03    0.15998E+04
